# packages in environment at /media/shahriar-rizvi/15ff04dd-7d57-4f19-9c76-148a0b65e70d1/conda_storage/envs/spicscon26:
#
# Name                              Version          Build                 Channel
colorama                            0.4.6            pyhd8ed1ab_1          conda-forge
comm                                0.2.3            pyhe01879c_0          conda-forge
contourpy                           1.3.3            py311h724c32c_4       conda-forge
cycler                              0.12.1           pyhcf101f3_2          conda-forge
cyrus-sasl                          2.1.28           hac629b4_1            conda-forge
dbus                                1.16.2           h24cb091_1            conda-forge
debugpy                             1.8.20           py311hc665b79_0       conda-forge
decorator                           5.3.1            pyhd8ed1ab_0          conda-forge
defusedxml                          0.7.1            pyhd8ed1ab_0          conda-forge
double-conversion                   3.4.0            hecca717_0            conda-forge
et_xmlfile                          2.0.0            pyhd8ed1ab_1          conda-forge
exceptiongroup                      1.3.1            pyhd8ed1ab_0          conda-forge
executing                           2.2.1            pyhd8ed1ab_0          conda-forge
font-ttf-dejavu-sans-mono           2.37             hab24e00_0            conda-forge
font-ttf-inconsolata                3.000            h77eed37_0            conda-forge
font-ttf-source-code-pro            2.038            h77eed37_0            conda-forge
font-ttf-ubuntu                     0.83             h77eed37_3            conda-forge
fontconfig                          2.18.0           h27c8c51_0            conda-forge
fonts-conda-ecosystem               1                0                     conda-forge
fonts-conda-forge                   1                hc364b38_1            conda-forge
fonttools                           4.63.0           py311h3778330_0       conda-forge
fqdn                                1.5.1            pyhd8ed1ab_1          conda-forge
freetype                            2.14.3           ha770c72_0            conda-forge
gflags                              2.2.2            h5888daf_1005         conda-forge
glog                                0.7.1            hbabe93e_0            conda-forge
graphite2                           1.3.14           hecca717_2            conda-forge
h11                                 0.16.0           pyhcf101f3_1          conda-forge
h2                                  4.3.0            pyhcf101f3_0          conda-forge
harfbuzz                            14.2.0           h6083320_0            conda-forge
hpack                               4.1.0            pyhd8ed1ab_0          conda-forge
httpcore                            1.0.9            pyh29332c3_0          conda-forge
httpx                               0.28.1           pyhd8ed1ab_0          conda-forge
hyperframe                          6.1.0            pyhd8ed1ab_0          conda-forge
icu                                 78.3             h33c6efd_0            conda-forge
idna                                3.17             pyhcf101f3_0          conda-forge
importlib-metadata                  9.0.0            pyhcf101f3_0          conda-forge
importlib_resources                 7.1.0            pyhd8ed1ab_0          conda-forge
iniconfig                           2.3.0            pyhd8ed1ab_0          conda-forge
ipykernel                           7.2.0            pyha191276_1          conda-forge
ipython                             9.13.0           pyh53cf698_0          conda-forge
ipython_pygments_lexers             1.1.1            pyhd8ed1ab_0          conda-forge
isoduration                         20.11.0          pyhd8ed1ab_1          conda-forge
jedi                                0.19.2           pyhd8ed1ab_1          conda-forge
jinja2                              3.1.6            pyhcf101f3_1          conda-forge
joblib                              1.5.3            pyhd8ed1ab_0          conda-forge
json5                               0.14.0           pyhd8ed1ab_0          conda-forge
jsonpointer                         3.1.1            pyhcf101f3_0          conda-forge
jsonschema                          4.26.0           pyhcf101f3_0          conda-forge
jsonschema-specifications           2025.9.1         pyhcf101f3_0          conda-forge
jsonschema-with-format-nongpl       4.26.0           hcf101f3_0            conda-forge
jupyter-lsp                         2.3.1            pyhcf101f3_0          conda-forge
jupyter_client                      8.8.0            pyhcf101f3_0          conda-forge
jupyter_core                        5.9.1            pyhc90fa1f_0          conda-forge
jupyter_events                      0.12.1           pyhcf101f3_0          conda-forge
jupyter_server                      2.18.2           pyhcf101f3_0          conda-forge
jupyter_server_terminals            0.5.4            pyhcf101f3_0          conda-forge
jupyterlab                          4.5.7            pyhd8ed1ab_0          conda-forge
jupyterlab_pygments                 0.3.0            pyhd8ed1ab_2          conda-forge
jupyterlab_server                   2.28.0           pyhcf101f3_0          conda-forge
keyutils                            1.6.3            hb9d3cd8_0            conda-forge
kiwisolver                          1.5.0            py311h724c32c_0       conda-forge
krb5                                1.22.2           ha1258a1_0            conda-forge
lark                                1.3.1            pyhd8ed1ab_0          conda-forge
lcms2                               2.19.1           h0c24ade_0            conda-forge
ld_impl_linux-64                    2.45.1           default_hbd61a6d_102  conda-forge
lerc                                4.1.0            hdb68285_0            conda-forge
libabseil                           20260107.1       cxx17_h7b12aa8_0      conda-forge
libarrow                            24.0.0           h61d77b5_4_cpu        conda-forge
libarrow-acero                      24.0.0           h635bf11_4_cpu        conda-forge
libarrow-compute                    24.0.0           h53684a4_4_cpu        conda-forge
libarrow-dataset                    24.0.0           h635bf11_4_cpu        conda-forge
libarrow-substrait                  24.0.0           hb4dd7c2_4_cpu        conda-forge
libblas                             3.11.0           8_h4a7cf45_openblas   conda-forge
libbrotlicommon                     1.2.0            hb03c661_1            conda-forge
libbrotlidec                        1.2.0            hb03c661_1            conda-forge
libbrotlienc                        1.2.0            hb03c661_1            conda-forge
libcblas                            3.11.0           8_h0358290_openblas   conda-forge
libclang13                          22.1.6           default_h746c552_1    conda-forge
libcrc32c                           1.1.2            h9c3ff4c_0            conda-forge
libcups                             2.3.3            h7a8fb5f_6            conda-forge
libcurl                             8.20.0           hcf29cc6_0            conda-forge
libdeflate                          1.25             h17f619e_0            conda-forge
libdrm                              2.4.127          hb03c661_0            conda-forge
libedit                             3.1.20250104     pl5321h7949ede_0      conda-forge
libegl                              1.7.0            ha4b6fd6_3            conda-forge
libegl-devel                        1.7.0            ha4b6fd6_3            conda-forge
libev                               4.33             hd590300_2            conda-forge
libevent                            2.1.12           hf998b51_1            conda-forge
libexpat                            2.8.1            hecca717_0            conda-forge
libffi                              3.5.2            h3435931_0            conda-forge
libfreetype                         2.14.3           ha770c72_0            conda-forge
libfreetype6                        2.14.3           h73754d4_0            conda-forge
libgcc                              15.2.0           he0feb66_19           conda-forge
libgcc-ng                           15.2.0           h69a702a_19           conda-forge
libgfortran                         15.2.0           h69a702a_19           conda-forge
libgfortran5                        15.2.0           h68bc16d_19           conda-forge
libgl                               1.7.0            ha4b6fd6_3            conda-forge
libgl-devel                         1.7.0            ha4b6fd6_3            conda-forge
libglib                             2.88.1           h0d30a3d_2            conda-forge
libglvnd                            1.7.0            ha4b6fd6_3            conda-forge
libglx                              1.7.0            ha4b6fd6_3            conda-forge
libglx-devel                        1.7.0            ha4b6fd6_3            conda-forge
libgomp                             15.2.0           he0feb66_19           conda-forge
libgoogle-cloud                     3.5.0            h8d2ee43_1            conda-forge
libgoogle-cloud-storage             3.5.0            hdbdcf42_1            conda-forge
libgrpc                             1.78.1           h1d1128b_0            conda-forge
libiconv                            1.18             h3b78370_2            conda-forge
libjpeg-turbo                       3.1.4.1          hb03c661_0            conda-forge
liblapack                           3.11.0           8_h47877c9_openblas   conda-forge
libllvm22                           22.1.6           hf7376ad_0            conda-forge
liblzma                             5.8.3            hb03c661_0            conda-forge
libnghttp2                          1.68.1           h877daf1_0            conda-forge
libnsl                              2.0.1            hb9d3cd8_1            conda-forge
libntlm                             1.8              hb9d3cd8_0            conda-forge
libopenblas                         0.3.33           pthreads_h94d23a6_0   conda-forge
libopengl                           1.7.0            ha4b6fd6_3            conda-forge
libopentelemetry-cpp                1.27.0           h9692893_0            conda-forge
libopentelemetry-cpp-headers        1.27.0           ha770c72_0            conda-forge
libparquet                          24.0.0           h7376487_4_cpu        conda-forge
libpciaccess                        0.19             hb03c661_0            conda-forge
libpng                              1.6.58           h421ea60_0            conda-forge
libpq                               18.4             hd5a49e9_0            conda-forge
libprotobuf                         6.33.5           h6eeba95_1            conda-forge
libre2-11                           2025.11.05       h0dc7533_1            conda-forge
libsodium                           1.0.22           h280c20c_1            conda-forge
libsqlite                           3.53.1           h0c1763c_0            conda-forge
libssh2                             1.11.1           hcf80075_0            conda-forge
libstdcxx                           15.2.0           h934c35e_19           conda-forge
libstdcxx-ng                        15.2.0           hdf11a46_19           conda-forge
libthrift                           0.22.0           h7d032f7_2            conda-forge
libtiff                             4.7.1            h9d88235_1            conda-forge
libutf8proc                         2.11.3           hfe17d71_0            conda-forge
libuuid                             2.42.1           h5347b49_0            conda-forge
libvulkan-loader                    1.4.341.0        h5279c79_0            conda-forge
libwebp-base                        1.6.0            hd42ef1d_0            conda-forge
libxcb                              1.17.0           h8a09558_0            conda-forge
libxcrypt                           4.4.36           hd590300_1            conda-forge
libxkbcommon                        1.13.1           hca5e8e5_0            conda-forge
libxml2                             2.15.3           h49c6c72_0            conda-forge
libxml2-16                          2.15.3           hca6bf5a_0            conda-forge
libxslt                             1.1.43           h711ed8c_1            conda-forge
libzlib                             1.3.2            h25fd6f3_2            conda-forge
lz4-c                               1.10.0           h5888daf_1            conda-forge
markdown-it-py                      4.2.0            pypi_0                pypi
markupsafe                          3.0.3            py311h3778330_1       conda-forge
matplotlib                          3.10.9           py311h38be061_0       conda-forge
matplotlib-base                     3.10.9           py311h0f3be63_0       conda-forge
matplotlib-inline                   0.2.2            pyhd8ed1ab_0          conda-forge
mdurl                               0.1.2            pypi_0                pypi
mistune                             3.2.1            pyhcf101f3_0          conda-forge
munkres                             1.1.4            pyhd8ed1ab_1          conda-forge
nbclient                            0.10.4           pyhd8ed1ab_0          conda-forge
nbconvert-core                      7.17.1           pyhcf101f3_0          conda-forge
nbformat                            5.10.4           pyhd8ed1ab_1          conda-forge
ncurses                             6.6              hdb14827_0            conda-forge
nest-asyncio                        1.6.0            pyhd8ed1ab_1          conda-forge
networkx                            3.6.1            pyhcf101f3_0          conda-forge
nlohmann_json                       3.12.0           h54a6638_1            conda-forge
notebook                            7.5.6            pyhcf101f3_1          conda-forge
notebook-shim                       0.2.4            pyhd8ed1ab_1          conda-forge
numpy                               2.4.6            py311h2e04523_0       conda-forge
openjpeg                            2.5.4            h55fea9a_0            conda-forge
openldap                            2.6.13           hbde042b_0            conda-forge
openpyxl                            3.1.5            py311h534898f_3       conda-forge
openssl                             3.6.2            h35e630c_0            conda-forge
orc                                 2.3.0            h21090e2_0            conda-forge
overrides                           7.7.0            pyhd8ed1ab_1          conda-forge
packaging                           26.2             pyhc364b38_0          conda-forge
pandas                              3.0.3            py311h8032f78_0       conda-forge
pandocfilters                       1.5.0            pyhd8ed1ab_0          conda-forge
parso                               0.8.7            pyhcf101f3_0          conda-forge
pcre2                               10.47            haa7fec5_0            conda-forge
pexpect                             4.9.0            pyhd8ed1ab_1          conda-forge
pillow                              12.2.0           py311hf88fc01_0       conda-forge
pip                                 26.1.1           pyh8b19718_0          conda-forge
pixman                              0.46.4           h54a6638_1            conda-forge
platformdirs                        4.10.0           pyhcf101f3_0          conda-forge
pluggy                              1.6.0            pyhf9edf01_1          conda-forge
prometheus-cpp                      1.3.0            ha5d0236_0            conda-forge
prometheus_client                   0.25.0           pyhd8ed1ab_0          conda-forge
prompt-toolkit                      3.0.52           pyha770c72_0          conda-forge
psutil                              7.2.2            py311haee01d2_0       conda-forge
pthread-stubs                       0.4              hb9d3cd8_1002         conda-forge
ptyprocess                          0.7.0            pyhd8ed1ab_1          conda-forge
pure_eval                           0.2.3            pyhd8ed1ab_1          conda-forge
pyarrow                             24.0.0           py311h38be061_0       conda-forge
pyarrow-core                        24.0.0           py311h66caee6_0_cpu   conda-forge
pycparser                           3.0              pyhcf101f3_0          conda-forge
pygments                            2.20.0           pyhd8ed1ab_0          conda-forge
pyparsing                           3.3.2            pyhcf101f3_0          conda-forge
pyside6                             6.11.1           py311hf27b23e_1       conda-forge
pysocks                             1.7.1            pyha55dd90_7          conda-forge
pytest                              9.0.3            pyhc364b38_1          conda-forge
python                              3.11.15          hd63d673_0_cpython    conda-forge
python-dateutil                     2.9.0.post0      pyhe01879c_2          conda-forge
python-fastjsonschema               2.21.2           pyhe01879c_0          conda-forge
python-json-logger                  3.2.1            pyh332efcf_0          conda-forge
python-tzdata                       2026.2           pyhd8ed1ab_0          conda-forge
python_abi                          3.11             8_cp311               conda-forge
pyyaml                              6.0.3            py311h3778330_1       conda-forge
pyzmq                               27.1.0           py311hca8cfc1_3       conda-forge
qhull                               2020.2           h434a139_5            conda-forge
qt6-main                            6.11.1           pl5321h16c4a6b_0      conda-forge
re2                                 2025.11.05       h5301d42_1            conda-forge
readline                            8.3              h853b02a_0            conda-forge
referencing                         0.37.0           pyhcf101f3_0          conda-forge
requests                            2.34.2           pyhcf101f3_0          conda-forge
rfc3339-validator                   0.1.4            pyhd8ed1ab_1          conda-forge
rfc3986-validator                   0.1.1            pyh9f0ad1d_0          conda-forge
rfc3987-syntax                      1.1.0            pyhe01879c_1          conda-forge
rich                                15.0.0           pypi_0                pypi
rpds-py                             2026.5.1         py311h1baac5b_0       conda-forge
s2n                                 1.7.3            hc5a330e_0            conda-forge
scikit-learn                        1.8.0            np2py311ha15b03d_1    conda-forge
scipy                               1.17.1           py311hbe70eeb_1       conda-forge
send2trash                          2.1.0            pyha191276_1          conda-forge
setuptools                          82.0.1           pyh332efcf_0          conda-forge
six                                 1.17.0           pyhe01879c_1          conda-forge
snappy                              1.2.2            h03e3b7b_1            conda-forge
sniffio                             1.3.1            pyhd8ed1ab_2          conda-forge
soupsieve                           2.8.4            pyhd8ed1ab_0          conda-forge
stack_data                          0.6.3            pyhd8ed1ab_1          conda-forge
tabulate                            0.10.0           pyhcf101f3_0          conda-forge
terminado                           0.18.1           pyhc90fa1f_1          conda-forge
threadpoolctl                       3.6.0            pyhecae5ae_0          conda-forge
tinycss2                            1.4.0            pyhd8ed1ab_0          conda-forge
tk                                  8.6.13           noxft_h366c992_103    conda-forge
tomli                               2.4.1            pyhcf101f3_0          conda-forge
tornado                             6.5.6            py311h49ec1c0_0       conda-forge
tqdm                                4.67.3           pyh8f84b5b_0          conda-forge
traitlets                           5.15.0           pyhcf101f3_0          conda-forge
typing-extensions                   4.15.0           h396c80c_0            conda-forge
typing_extensions                   4.15.0           pyhcf101f3_0          conda-forge
typing_utils                        0.1.0            pyhd8ed1ab_1          conda-forge
tzdata                              2025c            hc9c84f9_1            conda-forge
unicodedata2                        17.0.1           py311h49ec1c0_0       conda-forge
uri-template                        1.3.0            pyhd8ed1ab_1          conda-forge
urllib3                             2.7.0            pyhd8ed1ab_0          conda-forge
wayland                             1.25.0           hd6090a7_0            conda-forge
wcwidth                             0.7.0            pyhd8ed1ab_0          conda-forge
webcolors                           25.10.0          pyhd8ed1ab_0          conda-forge
webencodings                        0.5.1            pyhd8ed1ab_3          conda-forge
websocket-client                    1.9.0            pyhd8ed1ab_0          conda-forge
wheel                               0.47.0           pyhd8ed1ab_0          conda-forge
xcb-util                            0.4.1            h4f16b4b_2            conda-forge
xcb-util-cursor                     0.1.6            hb03c661_0            conda-forge
xcb-util-image                      0.4.0            hb711507_2            conda-forge
xcb-util-keysyms                    0.4.1            hb711507_0            conda-forge
xcb-util-renderutil                 0.3.10           hb711507_0            conda-forge
xcb-util-wm                         0.4.2            hb711507_0            conda-forge
xkeyboard-config                    2.47             hb03c661_0            conda-forge
xorg-libice                         1.1.2            hb9d3cd8_0            conda-forge
xorg-libsm                          1.2.6            he73a12e_0            conda-forge
xorg-libx11                         1.8.13           he1eb515_0            conda-forge
xorg-libxau                         1.0.12           hb03c661_1            conda-forge
xorg-libxcomposite                  0.4.7            hb03c661_0            conda-forge
xorg-libxcursor                     1.2.3            hb9d3cd8_0            conda-forge
xorg-libxdamage                     1.1.6            hb9d3cd8_0            conda-forge
xorg-libxdmcp                       1.1.5            hb03c661_1            conda-forge
xorg-libxext                        1.3.7            hb03c661_0            conda-forge
xorg-libxfixes                      6.0.2            hb03c661_0            conda-forge
xorg-libxi                          1.8.3            hb03c661_0            conda-forge
xorg-libxrandr                      1.5.5            hb03c661_0            conda-forge
xorg-libxrender                     0.9.12           hb9d3cd8_0            conda-forge
xorg-libxtst                        1.2.5            hb9d3cd8_3            conda-forge
xorg-libxxf86vm                     1.1.7            hb03c661_0            conda-forge
xorg-xorgproto                      2025.1           hb03c661_0            conda-forge
yaml                                0.2.5            h280c20c_3            conda-forge
zeromq                              4.3.5            h09e67af_11           conda-forge
zipp                                4.1.0            pyhcf101f3_0          conda-forge
zlib                                1.3.2            h25fd6f3_2            conda-forge
zlib-ng                             2.3.3            hceb46e0_1            conda-forge
zstd                                1.5.7            hb78ec9c_6            conda-forge
